year,Subject code,forfatternavn
1879,"4,-221","Sørensen, J. C."
1874,"53,-161","Bredsdorff, Chr."
1881,"4,-205","Winslöw, W."
1894,"5,-177","Scupoli, Laurentius."
1874,"44,-274","Scharling, Peter."
1891,"10,-352","Müller, Hans."
1866,"21,-202","Reinhardt, J."
1852,"18,-196","Bondesen, J. H. T."
1863,"18,-130","Raben, N. C."
1857,"18,-177","Jacobsen, L."
1874,"18,-157","Bjerrum, N. Chr."
1874,"18,-157","Andersen, N."
1841,"18,-178","Schneekloth, H."
1874,"18,-157","Barlag, L. C."
1890,"18,-161","Vogel-Jørgensen, G."
1886,"18,-160","Holm, R. J."
1888,"18,-161","Larsen, Joakim."
1866,"18,-152","Jensen, M."
1854,"18,-197","Rosenhoff, Claudius."
1856,"18,-196","Petersen, L."
1850,"18,-178","Carlsen, Carl Chr."
1882,"18,-157","Andersen, N."
1874,"18,-154","Hansen, Chr."
1798,"28,-86","Riem, Andreas."
1749,"41:2,-73","Wager, Gothfr."
1897,"21,-113","Sæmundsson, B."
1855,"12,-247","Gottschalch, Hans Chr. Magn."
1864,"57,-194","Krebs, Johanne Louise."
1880,"57,-204","Levinssøn, M. Chr."
1866,"21,-165","Reinhardt, J."
1871,"13,-108","Thompson, Henry."
1899,"12,-76c","Mygge, Johannes."
1863,"13,-176","Poulsen, J. P."
1889,"13,-230","Rasch, Carl."
1863,"11,-214","Smith, F. L. E."
1893,"57,-157","Holm Hansen, Joh."
1840,"12,-312","Sommer, A. G."
1877,"57,-165","Hjelm, Robert."
1882,"57,-174","Jacobsen, J. P."
1864,"57,-161","Hauch, C."
1851,"35,-97","Meinert, A. E."
1856,"3,-157","Daugaard, J. B."
1858,"58,-62","Dickens, Charles."
1866,"4,-247","Daugaard, Christine."
1899,"2,-114","Davidsen, P. C."
1849,"31,-228","Daa, Ludvig Kr."
1861,"4,-247","Daugaard, Christine."
1853,"1,-105","Ussing, August."
sa,"4,-238","Brinch, Ivar."
1874,"6:1,-87","Brieger, C. F."
1883,"44,-127","Bricka, C. F."
1877,"42,-244","Bricka, C. F."
1857,"31,-229","Finecke, Carl Blixen."
1872,"57,-94","Bjørnson, Bjørnstjerne."
1853,"34:4,-360","Hvidt, Edw. J."
1883,"44,-99","Huitfeldt-Kaas, H. J."
1896,"24,-28","Heyman, N."
1889,"23,-289","Petersen, Otto."
1844,"2,-1","Hübner, Johann."
1889,"33,-182","Jespersen, Chr. Jesp. Jac. Pd."
1899,"55,-133","Hostrup, Christian."
1898,"15,-195","Heins, Julie."
1898,"23,-335","Horten, Sofie."
1897,"44,-45","Huitfeldt-Kaas, H. J."
1896,"15,-191","Heins, Julie."
1896-1900,"15,-191","Heins, Julie."
1898,"5,-95","Hoff, V. J."
1876,"5,-86","Hauge, Pt."
1873,"42,-223","Hoff, V. J."
1879,"13,-155","Hartvigson, Sigv."
1867,"22,-43","Heiberg, P."
1868,"22,-227","Hoff, Th."
1890-1891,"15,-191","Heins, Julie."
1896,"53,-323","Holst, H. P."
1864,"34:3,-15","Holst, L."
1842,"44,-217","Hasle, C. M."
1780,"5,-63","Doddridge, Philip."
1838,"59,-195","Asmussen, Johs."
1897-1898,"27,-388","Hein, Hj."
1864,"12,-236","Homann, C."
1888,"43,-29","Hoskiær, Ditl."
1873,"55,-133","Hostrup, Christian."
1867,"52,-86","Haven, Sofus von."
1867,"5,-95","Hoff, V. J."
1882,"4,-75","Hoff, V. J."
1896,"55,-133","Hostrup, Christian."
1866,"6:1,-114","Clausen, Johannes."
1889,"6:1,-5","Clausen, Johannes."
1863,"5,-55","Christiani, Carl Emil Anton."
1861,"1,-285","Christensen, P. G."
sa,"46,-237","Colding, Fr."
1861,"1,-421","Christensen, P. G."
1883,"34:2,-289","Clausen, Johannes."
1873-1878,"34:4,-382","Collin, Jonas."
18--?,"20,-47","Ørsted, H. C."
1337 ie 1737,"5,-327","Naur, E. E."
1845,"53,-343","Kaalund, Hans Wilhelm."
1849,"53,-222","Boye, C. J."
1847-54,"4,-238","Boye, C. J."
1727,"5,-220","Rawlet, John."
1890,"33,-397","Lohmann, J. J."
1877,"16,-225","Manicus, George V."
1871 - 1886,"21,-263","Meinert, Fr."
1745,"12,-59","Thue, Andreas."
1893,"47,-378","Listov, J."
1796,"12,-234","Tilemann, J. G"
1884,"35,-48","Whitte, Axel."
1625,"4,-182","Sthen, Hans Christensen."
1681,"4,-184","Cassuben, Christian."
1836,"13,-268","Michelsen, Henr. Edv."
1889,"11,-113","Beynon, Elias."
1875,"11,-163","Gædeken, C. G."
1895,"15,-276","Hoffmann, Franz."
1848,"15,-243","Horup, F."
1871,"15,-260","Andersen, Carl."
1895,"15,-276",Hans.
1869,"15,-259","Saugmann, Betty."
1872,"15,-261","Henningsen, Emanuel."
1889,"15,-271","Lund, P. J. St."
1857,"15,-250","Adams, Will."
1863,"15,-256","Frølich, Lorenz."
1867,"15,-258",Anna.
1873,"15,-262","Petersen, J. P. V."
1839,"15,-237","Heger, Jens Stephen."
1877,"15,-260","Winther, Chr."
1858,"52,-60","Rode, Gotfred."
1895,"15,-276","Jastrau, V."
1838,"15,-239","Hallager, Morten."
1862,"15,-254","Schmid, Christoph."
1828,"56,-387","Heiberg, Johan Ludvig."
1804,"57,-496","Spiesz, Krist. Henrik."
1808,"56,-262","Favieres, Edmond Guill. Franç. de."
1823,"55,-153","Kruse, L."
1802,"56,-47","Kotzebue, Aug. v."
1817,"57,-195","Kruse, L."
1851,"59,-44",Jacobo.
1857,"30:2,-90","Blom, C. A."
1894,"59,-33","Schumacher, Alex."
1855,"14,-277",Ambrosio.
1873,"30:2,-106","Dinesen, Vilhelm."
1855,"14,-269","Møller, A. J. W."
1894,"30:1,-47","Troels-Lund, Troels Frederik."
1871,"30:2,-105","Jezierski, Louis."
1838,"14,-276","Bohr, Henrik Georg Christian."
1890,"47,-371","Nees, Frits."
1875,"59,-11","Grundtvig, N. F. S."
1848,"52,-171","Bulwer, Edward Lytton."
1870,"31,-11","Møller, H. G."
1887,"52,-123","Thomeskjær, C. Sørensen."
1822,"15,-181","Thieme, Karl Traugott."
1833,"44,-98","Jensen, J. C."
1892,"21,-182","Barfod, Kristen."
1882,"21,-241","Lange, Olaf."
1885,"21,-273","Bergh, R. S."
1873,"44,-120","Jagd, J. H."
1862,"21,-88","Bentzien, J. A."
1884,"42,-245","Brammer, G. P."
1839,"42,-258","Lengnick, Johan Carl Louis."
1898,"42,-207","Hansen, Hans."
1890,"17,-253","Sonne, J."
1868,"42,-207","Termansen, N. J."
1844,"46,-181","Barfod, Frederik."
1894,"42,-276","Bræstrup, Chr. Jac. Cosmus."
1872,"40,1-141","Krüger, Hans A."
1879,"34:4,-205","Buus, N. P. J."
1876,"24,-93","Hannemann, D."
1899,"24,-86","Jørgensen, L."
1899,"24,-106a","Wagner, Paul."
1863,"54,-22","Schmidt, Rudolf."
1853,"24,-120","Hesselhoe, Jørgen Nielsen."
1845,"25,-25","Fogh, Christian Peter Johannes."
1862,"25,-49","Jensen, H."
1874,"24,-105","Heiden, Eduard."
1870,"25,-27",Petersen.
1894,"54,-10","Richardt, Chr."
1890,"34:4,-206a","Goldschmidt, Harald."
1896,"54,-7","Recke, Ernst von der."
1890,"34:4,-190","Jensen, Richard."
1874,"18,-181","Hansen, Chr."
1871,"18,-157","Bie, L. H."
1881-86,"18,-154","Matzen, M."
1862,"18,-151","Hansen, Chr."
1872-74,"18,-157","Kjeldskov, A."
1847,"18,-178","Rugaard, D. E."
1883,"18,-159","Andersen, N."
1896,"18,-158","Nehm, V."
1895-1896,"18,-161","Vogel-Jørgensen, G."
1772,"37,-47","Luxdorph, Bolle Willum."
1865,"55,-20","Andersen, H. C."
1882,"57,-374f","Scholander, F. W."
1888,"47,-7","Meyer, M."
1776,"11,-96","Tode, Johann Clemens."
1859,"15,-117","Manicus, E."
1882,"21,-238","Meinert, Fr."
1773,"12,-229","Smith, Axel Chr."
1896,"47,-378","Listov, J."
1899,"47,-378","Listov, J."
1608,"4,-181","Thomissøn, Hans."
1626,"4,-181","Thomissøn, Hans."
1867,"47,-6","Jessen, E."
1847,"37,-120","Johnsen, J. C."
1893,"26,-25","Johansen, Mads."
1889,"57,-403","Ebers, Georg."
1876,"57,-433","Jensen, Wilhelm."
1841,"57,-178","Ingemann, B. S."
1882,"57,-175","Jensen, Morten."
1882,"57,-175","Jensen, Morten."
1842,"57,-178","Ingemann, B. S."
1896,"57,-181","Johansen, Laurits."
1874-1875,"57,-187","Karstens, Kamillo."
1899,"57,-340","Jensen, Hans."
1899,"57,-188","Kielberg, A."
1851,"6:2,-9","Leuning, Th."
1878,"3,-424","Lund, P. M."
1893,"35,-330","Troels-Lund, Troels Frederik."
1895,"21,-190","Lunde, Frithjof A."
1899,"6:2,-15","Lunddahl, Harald."
1891,"29,-70","Lund, L."
1879,"10,-89","Heiberg, Jac."
1897,"16,-236","Lund, P. M."
1852,"32,-140","Eibeschütz, N. Jacobus."
1682,"15,-72","Siwers, Berent."
1695,"2,-85","Dudulæus, Chrysostomus."
1782,"4,-431","Buch, Gert Diderich."
1897,"56,-346","Belly, Georg."
1790,"37,-168","Werfel, Johan."
1703,"5,-142","Naur, Elias Eskildsen."
1804,"34:2,-169",Brockdorff.
1824,"17,-68","Boye, Johannes."
1800,"47,-208","Boye, Johannes."
1816,"56,-182",Bouilly.
1726,"36,-77","Brandt, Johann Christoph."
1801,"8,-51","Bornemann, Mathias Hastrup."
1848,"34:4,-351","Schøsler, C. G."
1814,"42,-135","Bruun, Thom. Cph."
1843,"34:2,-329","Faber, N."
1877,"34:1,-291","Grundtvig, Joh."
1719,"43,-177","Bredal, T."
1891,"52,-73","Bournonville, August."
1845,"6:1,-83","Brammer, G. P."
1800,"53,-225","Brestrup, Johan Christian."
1856,"55,-107","Holberg, Ludvig."
1856,"55,-109","Holberg, Ludvig."
1866,"4,-117","Hvalsøe, Hans Jacobsen."
1863,"22,-121","Jensen, Th."
1883,"3,-75","Jensen, Søren."
1868,"53,-330","Jensen, P."
1847,"53,-335","Ingemann, B. S."
1895,"53,-335","Ingemann, Bernhard Severin."
1803,"2,-2","Horster, Joachim Frederik."
1891,"5,-378","Jacobsen, A. Th."
1864,"34:1,-171","Høst, Joh. Nik."
1875,"4,-114","Hersleb, Peder."
1846,"23,-209","Høeg, Henriette Wilhelmine."
1899,Særtrykssamlingen,"Jersild, Olaf."
1867,"52,-87","Hertz, Henrik."
1850,"21,-234","Jacobsen, Frants Vogelius Steenstrup."
1880,"42,-144","Hertz, Mich."
1872,"5,-101","Høyberg, C."
1879,"6:1,-223","Jacobsen, G. G."
1886,"23,-63","Hørlück, R."
1882,"44,-65","Hjort, V."
1862-67,"52,-87","Hjort, Peder."
1898,"2,-55","Helveg, Fr."
1839,"6:1,-207","Hindberg, E. G. A."
1899,"11,-24","Holst, Erik."
1859,"31,-111","Hindenburg, T."
1875,"44,-226","Helveg, L."
1889,"5,-239",Iatros.
1849,"3,-117","Helveg, Ludv."
1865,"38,-57","Ibsen, Eugen."
1889,"3,-398","Tang, J. T. A."
1865,"4,-95","Luther, Martin."
1862,"21,-199","Lütken, Chr."
1883,"46,-141","Lütken, William."
1880,"33,-106","Løffler, J. B."
1858,"24,-92","Sommer, Wilh."
1832,"54,-11","Rohmann, J. L."
1879,"54,-19","Schandorph, S."
1799,"42,-273","Klingberg, Chr."
1890,"23,-322","Hansen, Dorthea."
1832,"23,-311","König, Joseph."
1882,"57,-118",Dora.
1866,"57,-117","Dodt, Beatus."
1899,"57,-121","Egeberg, Edvard."
1892,"23,-53","Beissel, Ch."
1868,"23,-53","Beissel, Ch."
1874,"34:4,-254","Nyrop, C."
1885,"45,-16","Martens, Johs."
1888,"44,-153","Jørgensen, Martin."
1841,"45,-12","Andersen, Peder."
1895,"30:1,-266","Scholler, L. W."
1896,"23,-54","Moth-Lund, Aug."
1890,"44,-273","Lund, M. F. C."
1888,"34,4-255","Muusmann, Carl."
1887,"45,-31","Meisler, Fr."
1791,"6:1,-92","Brun, Joh. Nordahl."
1857,"30:2,-258","Lutfullah, Munshi."
1847,"44,-296","Giessing, H. P."
1839,"18,-80","Broager, Pd. Dorph."
1891,"23,-95","Meyer, Emil."
1899,"23,-54","Nissen, C. A."
1695,"1,-130","Brinch, Ivar Diderichsen."
1847,"59,-94","Cohen, H. E."
1860-1862,"59,-97","Jordan, Ludvig."
1832,"59,-127","Behrend, Jacob."
161?,"4,-306","Sthen, Hans Christensen."
1895,"46,-167","Christonje, F. V."
1856,"58,-61","Dickens, Charles."
1874,"58,-61","Dickens, Charles."
1877,"21,-211","Steenstrup, Japetus."
1873,"21,-217","Steenstrup, Japetus."
1872,"57,-335","Suenssen, Fanny."
1889,"6:2,-106","Poulsen, A. S."
1894,"30,2-147","Larsen, Karl."
1854,"46,-244","Zahle, P. Chr."
1894,"15,-52","Jensen, Karl Fred."
1885,"58,-391","Amicis, Edmondo de."
1880,"23,-192","Andersen, A. F."
1873,"23,-209","Andersen, Bine."
1893-98,"28,-55","Løffler, E."
1861,"28,-50","Rimestad, C. V."
1860,"28,-51","Petersen, Bernhard v."
1893,"28,-55","Larsen, Joakim."
1891,"30:2,-35","Thrige, S. B."
1866,"30:1,-20","Kønigsfeldt, J. P. F."
1854,"28,-48","Krogh, A."
1886,"28,-54","Weitemeyer, H."
1695,"6:2,-41","Medelby, Poul Andersen."
1787,"33,-248","Lund, Georg Henric."
1736,"4,-189","Kingo, Thomas."
1716,"4,-189","Kingo, Thomas."
1694,"3,-412","Luther, Martin."
1838,"14,-68","Sibbern, Frederik Christian."
1845,"57,-228","Nielsen, Henriette."
1876,"18,-181","Simonsen, C. F. J."
1897,"18,-201","Højberg, N. L."
1862,"18,-154","Ingwersen, W."
1897,"18,-161","Korch, L."
1878,"18,-159","Ipsen, Vilh."
1866,"18,-155","Bokkenheuser, C. H. F."
1892,"18,-161","Larsen, Joakim."
1841,"18,-178","Meier, I. N."
1889,"18,-182","Eschricht, C. L."
1882,"18,-157","Kjeldskov, A."
1840,"18,-177","Raben, N. C."
1898,"18,-163","Attrup, Martin."
1898,"18,-181","Hansen, Chr."
1865,"18,-197","Nissen, C. V."
1874,"18,-181","Hansen, Chr."
1889,"18,-200","Kristensen, A. J."
1755,"24,-52","Juel, Poul."
5816 ie 1816,"34:3,-26","Rahbek, K. L."
1813,"34:3,-359","Schiøth, Jens Ridderman."
1820,"34:4,-212","Rawert, Ole Jørgen."
1897,"55,-163","Malling, Mathilda."
1879,"47,-378","Listov, J."
1872,"3,-176","Paludan-Müller, J."
1867,"34:2,-339","Martensen, H."
1878,"4,-7","Martensen, H."
1898,"57,-220","Mortensen, J. J."
1887,"1,-380","Moody, D. L."
1896,"18,-34","Lomholt, Adolf."
1888,"47,-380","Hansen, Ad."
1880,Særtrykssamlingen,"Madvig, Johan Nicolai."
1883,"37,-399","Madvig, J. N."
1897,"34:3,-201","Madsen-Mygdal, S."
1885,"47,-380","Hansen, Ad."
1869,"3,-151","Paludan-Müller, J."
1895,"3,-148","Madsen, P."
1814,"46,-193",Tolstrup
1858,"24,-76","Martens, G."
1888,"3,-19","Mansel, Henry Longueville."
1885,"13,-47","Langgaard, Chr."
1845,"33,-83","Tronier, C. G."
1866,"33,-110","Davidsen, Jacob."
1857,"13,-54","Brünniche, A. Schytz Plum."
1894,"15,-275","Fischer, Paul."
1893,"55,-72","Finne, Gabriel."
1865,"55,-61",Dan.
1841,"15,-240","Curtman, Wilhelm."
1881,"15,-266","Frederiksen, H. C."
1887,"55,-62","Drachmann, Holger."
1872,"15,-260","Bredal, N. A."
1843-1844,"15,-241","Frølund, Fred."
1819,"56,-330","Gabrielsen, Anders."
1821,"55,-130","Beeken, J. L."
1849,"57,-373m","Bremer, Fredrika."
1802,"57,-375","Bruun, N. T."
1815,"49,-148","Baden, Gustav Ludvig."
1822,"59,-78","Meiszner, A. G."
1820,"57,-25","Lange, Johs. Chr."
1814,"59,-90","Lorentzen, S."
1830,"57,-136","Gjemsøe, Joh. Henr. Tauber."
1814,"56,-344","Bruun, N. T."
1820,"57,-429","Horn, Franz."
1820,"59,-166","Hoffmann, F. O."
1816,"57,-440","Kruse, L."
1817,"56,-50","Kotzebue, A. v."
1625,"42,-261","Gjødesen, Jens."
1798,"43,-65","Øst, Niels Christian."
1741,"42,-202","Seehuus, M."
1817,"42,-232","Werlauff, Erich Chr."
1798,"33,-383","Hjort, Viktor Kristian."
1795,"42,-272","Klingberg, Christian."
1791,"43,-31","Kall, Abr."
1865,"4,-218","Christensen Sonberg, Peder."
1875,"44,-75","Schepelern, G."
1859,"5,-139","Müller, Heinr."
1887,"22,-136","Rostrup, E."
1897-1900,"15,-193","Schneekloth, K. A."
1840,"57,-103","Buchwald, Joh. Heinr."
1833,"57,-440","Kruse, L."
1831,"59,-269","Winther, Mathias."
1884,"31,-101","Nicolaysen, N."
1836-1837,"57,-374p","Sparre, Pehr."
1831,"57,-534","Klæstrup, Chr. Juul."
1835,"57,-324","Liunge, Andr. Pet."
1834,"57,-26","Bræmer, Otto Ferdinand."
1831,"57,-435","Kerndörfer, Heinr. Aug."
1838,"59,-195","Schmidt, J."
1831,"57,-515","Velde, C. P. van der."
1833-34,"57,-451","Bennett, William."
1879,"47,-53","Pio, Jean."
1820,"1,-9","Plum, Fred."
1874,"34:1,-112","Dessau, D."
1759,"5,-312","Boye, Frederik."
1885,"11,-69","Schepelern, V."
1883,"10,-352","Sørensen, Th."
1856,"11,-56","Pinney, Joel."
1715,"19,-180","Agerholm, Christ."
1818,"4,-436","Frankenau, Rasmus."
1791,"4,-434","Frankenau, Rasmus."
1792,"4,-434","Thaarup, Thom."
1736,"5,-28","Arnold, Gottfried."
1801,"6:2,-74","Neumann, Jakob."
1811,"4,-435","Michelsen, Hans Chr."
1808,"6:2,-130","Rønne, Hans Nicolai."
1808,"6:2,-222","Ussing, Henr."
1820,"4,-436","Thaarup, T."
1853,"27,-59","Jonquières, H. de."
1884,"53,-167","Matthiessen, M. E."
1889,"4,-223","Langsted, Adolf."
1891,"53,-162","Bredsdorff, Chr."
1890,"4,-223","Langsted, Adolf."
1858,"4,-216","Blache, H. H."
1894,"53,-170","Lidemark, L. P. Rasmussen."
1899,"53,-175","Carstensen, A."
1887,"53,-170","Andresen, Peder."
1892,"4,-226","Hansen, Axel R."
1883,"34:1,-173","Krarup, S."
1867,"34:1,-302","Hansen, Niels."
1899,"15,-174","Greensteen, H. J."
1890,"35,-46","Tang, J. T. A."
1888,"35,-46","Erslev, J."
1856,"35,-44","Fix, J. H."
1859,"35,-46","Tang, J. T. A."
1889,"35,-45","Fabricius, A."
1855,"37,-11","Brown, John."
1859,"33,-53","Karup, W. I."
1854,"35,-42","Allen, C. F."
1883,"49,-148","Paludan-Müller, C."
1861,"35,-45","Tang, J. T. A."
1876,"35,-21","Troels-Lund, Troels Frederik."
1858,"57,-418","Hackländer, F. W."
1804,"15,-182","Junker, Fr. Aug."
1865,"57,-170","Hornum, C. J."
1867,"57,-170","Hornum, C. Johansen."
1873,"6:1,-172","Gude, L."
1838,"15,-239","Holting, Gustav."
1831,"42,-169","Dahl, Frederik Peter Jacob."
1890-1891,"15,-194","Jensen, K."
1863,"33,-139","Brasen, J. A."
1885,"57,-178","Ingemann, Bernhard Severin."
1864,"54,-12","Rosenhoff, Cl."
1823,"18,-321","Hoskjær, Jac."
1884,"34:4,-205","Jessen, P."
1857-1858,"40,2-523","Allen, C. F."
1894,"40,2-514","Rosendal, H."
1891,"57,-284","Thoresen, Magdalena."
1895,"55,-4","Kjerulf, Charles."
1898,"55,-62","Drachmann, Holger."
1873,"55,-213","Andersen, Th."
1837,"15,-238","Grote, J. C."
1857,"55,-72","Fibiger, J."
1881,"55,-186","Fristrup, P."
1849,"15,-243","Krogsgaard, H. H. E."
1886,"55,-62","Drachmann, Holger."
1837,"15,-238","Gebauer, August."
1884,"15,-268","Juel-Hansen, N."
1841,"15,-240",Elliot.
1883,"55,-70","Feddersen, Benjamin."
1891,"55,-62","Drachmann, Holger."
1895,"55,-62","Drachmann, Holger."
1860,"15,-29","Erslev, H. H."
1790,"37,-167","Malling, Chr."
1702,"4,-369","Lassenius, Johan."
1810,"41:2,-189","Grundtvig, N. F. S."
1881-1882,"35,-161","Erslev, Kr."
1816,"58,-232","Bonaparte, Joseph."
1831,"46,-106","Jelstrup, A. M."
1879,"49,-60","Wimmer, Ludv. F. A."
1764,"56,-179","Boissy, Louis de."
1649,"35,-278","Spend, Niels Christensen."
1871,"42,-244","Friis, F. R."
1858-1862,"58,-265","Ferry, Gabriel."
1875,"58,-277","Gaboriau, Emile."
1848-50,"58,-251","Dumas père, Alexander."
1890,"58,-408","Matschtet, G. A."
1882,"58,-263","Fabre, Ferdinand."
1875,"58,-416","Jókai, Maurus."
1889,"58,-253","Dumas père, Alexander."
1863,"58,-283","Guizot, François P. G."
1832,"58,-286","Hugo, Victor."
1848,"58,-292","Kock, Paul de."
1895,"58,-385","Pérez Galdós, B."
1870,"58,-293","Kock, Paul de."
1884,"58,-406","Dostojevskij, F. M."
1855,"58,-396","Graffigny, Françoise d Issembourg d Happoncourt de."
1871,"5,-232","Forstmann, G. W."
1822,"45,-231","Rosendahl, Er. Pet."
1823,"45,-3","Schiødte, Søren."
1825,"42,-198","Neergaard, Jens Veibel."
1880,"46,-273","Winther, R."
1887,"42,-273","Schwanenflügel, H."
1856-1867,"57,-256","Bernhard, Carl."
1892-94,"35,-29","Olrik, Axel."
1875,"35,-47","Hansen, Chr."
1785,"41:1,-54","Hagerup, Eiler."
1773,"3,-234","Schnell, Frederik Christian."
1828,"37,-311","Beeken, J. L."
sa,"36,-289","Haste, Ped. Horrebow."
1872,"16,-234","Lunde, P. F."
1846,"16,-232","Lunde, P. F."
1812,"35,-146","Behrmann, Heinrich."
1826,"37,-212","Jørgensen, J. W."
1824,"37,-239","Liebenberg, Mich. Fr."
1821,"35,-117","Bendtsen, Paul."
1878,"25,-64","Storch, V."
1885,"25,-92","Møller, F."
1874,"25,-79","Schiffmann, C."
1888,"25,-55","Henneberg, U. N."
1891,"34:4,-208h","Erslev, Hans."
1877,"25,-81","Steen, M."
1826,"34:3,-285","Bramsen, Jens Andr."
1830,"6:1,-83","Brammer, Gerh. Pet."
1860,"56,-48","Kotzebue, A. von."
1851,"55,-58","Chievitz, Poul."
1875,"56,-169","Augier, Émile."
1865,"57,-218","Meyer, Eduard."
1880,"56,-170","Balzac, H. de."
1895,"57,-236",Maglekilde Petersen.
1890,"55,-273","Lund, M. M."
1886,"56,-310","Donizetti, Gaetano."
1832,"56,-214","Dupeuty, Ch."
